SR_NO,VOLTAGE,CURRENT,POWER,MODULE_TEMP,AMBIENT_TEMP,IR
1,18.51,0.07,1.32,579,488,414
2,18.51,0.01,0.22,536,489,415
3,18.48,0.06,1.13,536,489,412
4,18.51,0.07,1.32,535,489,416
5,18.48,0.04,0.77,535,490,413
6,18.51,0.04,0.77,535,489,415
7,18.48,0.04,0.77,534,489,413
8,18.48,0.02,0.4,533,489,415
9,18.48,0.05,0.95,536,490,414
10,18.51,0.02,0.4,535,490,415
11,18.48,0.06,1.13,534,491,417
12,18.48,0.04,0.77,535,491,413
13,18.48,0.02,0.4,536,491,416
14,18.48,0.01,0.22,535,492,415
15,18.48,0.03,0.58,536,492,414
16,18.48,0.05,0.95,536,492,411
17,18.46,-0.01,-0.15,536,493,407
18,18.46,0.07,1.31,536,493,407
19,18.46,0.04,0.77,535,494,409
20,18.43,0.01,0.22,534,495,411
21,18.46,0,0.04,535,495,416
22,18.43,0,0.04,536,496,415
23,18.46,0.05,0.95,535,496,412
24,18.43,0.06,1.13,536,496,408
25,18.46,0.06,1.13,535,496,409
26,18.43,0.06,1.13,535,495,408
27,18.46,-0.01,-0.15,536,495,408
28,18.41,0.07,1.31,535,494,412
29,18.41,0.04,0.76,536,493,406
30,18.41,0.05,0.95,535,493,404
31,18.43,-0.01,-0.15,535,493,407
32,18.41,0.03,0.58,536,493,407
33,18.43,0.01,0.22,535,492,407
34,18.41,0,0.04,535,492,407
35,18.41,0.07,1.31,535,491,407
36,18.43,0.09,1.68,534,490,405
37,18.41,0.04,0.76,535,490,407
38,18.41,0.04,0.76,533,490,407
39,18.41,0,0.04,536,490,407
40,18.41,0,0.04,533,491,407
41,18.41,0.03,0.58,535,492,406
42,18.38,0.06,1.13,534,492,409
43,18.38,0.05,0.94,534,491,407
44,18.38,0.02,0.4,534,491,408
45,18.38,0.07,1.31,534,491,405
46,18.41,0.01,0.22,534,490,405
47,18.41,0.03,0.58,534,491,407
48,18.38,0.02,0.4,534,490,407
49,18.38,0.04,0.76,535,490,406
50,18.38,0.02,0.4,534,491,408
51,18.36,0.02,0.4,534,491,409
52,18.38,0.04,0.76,535,491,407
53,18.36,0.06,1.13,532,491,407
54,18.36,0.06,1.13,530,491,409
55,18.36,0.02,0.4,531,491,407
56,18.36,0.06,1.13,533,491,407
57,18.38,0.03,0.58,532,491,407
58,18.38,0.02,0.4,530,491,407
59,18.33,0.01,0.22,532,491,404
60,18.36,0.05,0.94,533,491,406
61,18.36,0.04,0.76,533,491,405
62,18.33,0.06,1.12,532,491,405
63,18.33,0.07,1.3,533,491,406
64,18.33,-0.01,-0.14,532,491,406
65,18.33,0.04,0.76,532,491,408
66,18.33,0.03,0.58,531,491,406
67,18.33,0.03,0.58,532,491,407
68,18.31,0.03,0.58,532,492,404
69,18.31,0.01,0.22,533,493,406
70,18.31,0.09,1.67,533,492,406
71,18.33,0.02,0.4,531,493,406
72,18.31,-0.01,-0.14,532,493,405
73,18.31,0.06,1.12,532,494,407
74,18.33,0.07,1.3,533,494,406
75,18.31,0.07,1.3,530,494,407
76,18.29,0.02,0.4,532,494,405
77,18.31,0.06,1.12,533,494,406
78,18.31,0.01,0.22,535,494,406
79,18.29,0,0.04,533,493,406
80,18.29,0.06,1.12,531,492,405
81,18.29,0.03,0.58,533,492,407
82,18.29,0.02,0.4,532,491,407
83,18.29,0.02,0.4,530,491,407
84,18.31,0.09,1.67,532,491,407
85,18.29,0.03,0.58,533,491,405
86,18.29,0.06,1.12,532,490,408
87,18.26,0.03,0.58,530,490,408
88,18.29,0.04,0.76,531,489,409
